country,period,variable,value
AUS,1915-10-01,tas,22.33
AUS,1915-11-01,tas,25.78
AUS,1915-12-01,tas,27.09
AUS,1916-01-01,tas,27.77
AUS,1916-02-01,tas,27.36
AUS,1916-03-01,tas,25.67
AUS,1916-04-01,tas,21.1
AUS,1916-05-01,tas,18.43
AUS,1916-06-01,tas,15.34
AUS,1916-07-01,tas,13.77
AUS,1916-08-01,tas,15.81
AUS,1916-09-01,tas,19.31
AUS,1916-10-01,tas,21.54
AUS,1916-11-01,tas,23.64
AUS,1916-12-01,tas,26.0
AUS,1917-01-01,tas,26.95
AUS,1917-02-01,tas,25.23
AUS,1917-03-01,tas,24.33
AUS,1917-04-01,tas,20.63
AUS,1917-05-01,tas,16.24
AUS,1917-06-01,tas,14.11
AUS,1917-07-01,tas,14.55
AUS,1917-08-01,tas,15.19
AUS,1917-09-01,tas,18.73
AUS,1917-10-01,tas,21.82
AUS,1917-11-01,tas,24.04
AUS,1917-12-01,tas,26.48
AUS,1918-01-01,tas,26.98
AUS,1918-02-01,tas,26.06
AUS,1918-03-01,tas,24.05
AUS,1918-04-01,tas,21.43
AUS,1918-05-01,tas,17.73
AUS,1918-06-01,tas,15.15
AUS,1918-07-01,tas,12.94
AUS,1918-08-01,tas,15.69
AUS,1918-09-01,tas,18.95
AUS,1918-10-01,tas,22.26
AUS,1918-11-01,tas,25.45
AUS,1918-12-01,tas,27.31
AUS,1919-01-01,tas,27.83
AUS,1919-02-01,tas,27.15
AUS,1919-03-01,tas,25.31
AUS,1919-04-01,tas,22.54
AUS,1919-05-01,tas,17.9
AUS,1919-06-01,tas,15.3
AUS,1919-07-01,tas,13.83
AUS,1919-08-01,tas,15.46
AUS,1919-09-01,tas,18.75
AUS,1919-10-01,tas,22.28
AUS,1919-11-01,tas,25.76
AUS,1919-12-01,tas,27.76
AUS,1920-01-01,tas,27.19
AUS,1920-02-01,tas,26.87
AUS,1920-03-01,tas,24.69
AUS,1920-04-01,tas,21.12
AUS,1920-05-01,tas,17.4
AUS,1920-06-01,tas,15.11
AUS,1920-07-01,tas,13.92
AUS,1920-08-01,tas,15.42
