year,season,enso,index,month,period,assumed_available_at
1957,JJA,1.0,roni,7,1957-07-01,1957-09-05
1957,JAS,1.1,roni,8,1957-08-01,1957-10-05
1957,ASO,1.1,roni,9,1957-09-01,1957-11-05
1957,SON,1.2,roni,10,1957-10-01,1957-12-05
1957,OND,1.5,roni,11,1957-11-01,1958-01-05
1957,NDJ,1.8,roni,12,1957-12-01,1958-02-05
1958,DJF,1.9,roni,1,1958-01-01,1958-03-05
1958,JFM,1.8,roni,2,1958-02-01,1958-04-05
1958,FMA,1.3,roni,3,1958-03-01,1958-05-05
1958,MAM,1.0,roni,4,1958-04-01,1958-06-05
1958,AMJ,0.7,roni,5,1958-05-01,1958-07-05
1958,MJJ,0.6,roni,6,1958-06-01,1958-08-05
1958,JJA,0.5,roni,7,1958-07-01,1958-09-05
1958,JAS,0.3,roni,8,1958-08-01,1958-10-05
1958,ASO,0.2,roni,9,1958-09-01,1958-11-05
1958,SON,0.2,roni,10,1958-10-01,1958-12-05
1958,OND,0.4,roni,11,1958-11-01,1959-01-05
1958,NDJ,0.6,roni,12,1958-12-01,1959-02-05
1959,DJF,0.8,roni,1,1959-01-01,1959-03-05
1959,JFM,0.8,roni,2,1959-02-01,1959-04-05
1959,FMA,0.6,roni,3,1959-03-01,1959-05-05
1959,MAM,0.5,roni,4,1959-04-01,1959-06-05
1959,AMJ,0.3,roni,5,1959-05-01,1959-07-05
1959,MJJ,0.1,roni,6,1959-06-01,1959-08-05
1959,JJA,-0.1,roni,7,1959-07-01,1959-09-05
1959,JAS,-0.2,roni,8,1959-08-01,1959-10-05
1959,ASO,-0.1,roni,9,1959-09-01,1959-11-05
1959,SON,0.0,roni,10,1959-10-01,1959-12-05
1959,OND,0.2,roni,11,1959-11-01,1960-01-05
1959,NDJ,0.2,roni,12,1959-12-01,1960-02-05
1960,DJF,0.2,roni,1,1960-01-01,1960-03-05
1960,JFM,0.2,roni,2,1960-02-01,1960-04-05
1960,FMA,0.2,roni,3,1960-03-01,1960-05-05
1960,MAM,0.3,roni,4,1960-04-01,1960-06-05
1960,AMJ,0.2,roni,5,1960-05-01,1960-07-05
1960,MJJ,0.1,roni,6,1960-06-01,1960-08-05
1960,JJA,0.1,roni,7,1960-07-01,1960-09-05
1960,JAS,0.2,roni,8,1960-08-01,1960-10-05
1960,ASO,0.3,roni,9,1960-09-01,1960-11-05
1960,SON,0.1,roni,10,1960-10-01,1960-12-05
1960,OND,-0.1,roni,11,1960-11-01,1961-01-05
1960,NDJ,-0.1,roni,12,1960-12-01,1961-02-05
1961,DJF,0.0,roni,1,1961-01-01,1961-03-05
1961,JFM,0.1,roni,2,1961-02-01,1961-04-05
1961,FMA,0.0,roni,3,1961-03-01,1961-05-05
1961,MAM,0.1,roni,4,1961-04-01,1961-06-05
1961,AMJ,0.2,roni,5,1961-05-01,1961-07-05
1961,MJJ,0.3,roni,6,1961-06-01,1961-08-05
1961,JJA,0.2,roni,7,1961-07-01,1961-09-05
1961,JAS,-0.1,roni,8,1961-08-01,1961-10-05
1961,ASO,-0.2,roni,9,1961-09-01,1961-11-05
1961,SON,-0.2,roni,10,1961-10-01,1961-12-05
1961,OND,-0.1,roni,11,1961-11-01,1962-01-05
1961,NDJ,0.0,roni,12,1961-12-01,1962-02-05
1962,DJF,0.0,roni,1,1962-01-01,1962-03-05
1962,JFM,0.0,roni,2,1962-02-01,1962-04-05
1962,FMA,0.0,roni,3,1962-03-01,1962-05-05
1962,MAM,-0.2,roni,4,1962-04-01,1962-06-05
1962,AMJ,-0.2,roni,5,1962-05-01,1962-07-05
1962,MJJ,-0.1,roni,6,1962-06-01,1962-08-05
1962,JJA,0.0,roni,7,1962-07-01,1962-09-05
1962,JAS,-0.1,roni,8,1962-08-01,1962-10-05
1962,ASO,-0.1,roni,9,1962-09-01,1962-11-05
1962,SON,-0.3,roni,10,1962-10-01,1962-12-05
1962,OND,-0.3,roni,11,1962-11-01,1963-01-05
1962,NDJ,-0.4,roni,12,1962-12-01,1963-02-05
1963,DJF,-0.3,roni,1,1963-01-01,1963-03-05
1963,JFM,-0.1,roni,2,1963-02-01,1963-04-05
1963,FMA,0.0,roni,3,1963-03-01,1963-05-05
1963,MAM,0.1,roni,4,1963-04-01,1963-06-05
1963,AMJ,0.0,roni,5,1963-05-01,1963-07-05
1963,MJJ,0.4,roni,6,1963-06-01,1963-08-05
1963,JJA,0.7,roni,7,1963-07-01,1963-09-05
1963,JAS,1.1,roni,8,1963-08-01,1963-10-05
1963,ASO,1.1,roni,9,1963-09-01,1963-11-05
