period,mean,lower90,upper90,probability_season_above_2
2026-08-01,1.6162826141948248,1.3886185451711814,1.836802122584538,0.0035
2026-09-01,1.6899514205878388,1.2482988366293293,2.114273485194295,0.1305
2026-10-01,1.652332840449261,1.0114857149025496,2.2855428926230568,0.2235
2026-11-01,1.5366353318431505,0.7134463740866388,2.3660525956134055,0.201
2026-12-01,1.3655956435908876,0.3885321294663395,2.319459536228148,0.149
2027-01-01,1.1596634795483267,0.04146104490529076,2.2778197492711136,0.104
2027-02-01,0.9438420919393273,-0.25353018720317194,2.136294186334572,0.0765
2027-03-01,0.7326395160751751,-0.5170963649792346,1.9851128980912838,0.0475
2027-04-01,0.5432827066873137,-0.7624143829493393,1.82543913458506,0.029
2027-05-01,0.3792202991989393,-0.9438391585552189,1.6770541881709193,0.0175
2027-06-01,0.2394376011687589,-1.0937606959387867,1.529985677192704,0.0115
2027-07-01,0.12555142518826862,-1.2353306638354287,1.439016923344581,0.007
2027-08-01,0.03153328507519028,-1.3100114636508875,1.3646416060120752,0.006
2027-09-01,-0.03699362318975645,-1.3951615329044458,1.2877016057565533,0.0045
2027-10-01,-0.08961051282530735,-1.440089336522371,1.2353374967595723,0.0055
2027-11-01,-0.12079855635898001,-1.4498979763994542,1.2341474864002695,0.0045
2027-12-01,-0.1337373719697798,-1.4379006006702113,1.2163898697280158,0.004
2028-01-01,-0.13633895102032378,-1.4720156766149204,1.2458345982328733,0.0045
