year,series,country,crop,model,actual,prediction,lower90,upper90,phase,evaluation,error,covered90,interval_score90
2000,AUS:maize,AUS,maize,historical_mean,-0.0368413637931543,0.02866024844989768,-0.22697126620322566,0.277292640385109,La Nina,revised_data_conditional_hindcast,-0.06550161224305198,True,0.5042639065883346
2000,AUS:rice,AUS,rice,historical_mean,-0.1039108516810571,0.005600387306579491,-0.25003112734654387,0.2542327792417908,La Nina,revised_data_conditional_hindcast,-0.1095112389876366,True,0.5042639065883346
2000,AUS:sugar,AUS,sugar,historical_mean,-0.0514202543683053,0.006393840748907599,-0.24923767390421575,0.2550262326841189,La Nina,revised_data_conditional_hindcast,-0.0578140951172129,True,0.5042639065883346
2000,FJI:cocoa,FJI,cocoa,historical_mean,-0.3176291488197331,-0.06255018307677265,-0.318181697729896,0.18608220885843865,La Nina,revised_data_conditional_hindcast,-0.2550789657429604,True,0.5042639065883346
2000,FJI:coffee,FJI,coffee,historical_mean,-0.0601539228197469,0.07057975893308142,-0.1850517557200419,0.31921215086829274,La Nina,revised_data_conditional_hindcast,-0.13073368175282832,True,0.5042639065883346
2000,FJI:maize,FJI,maize,historical_mean,-0.0039045226811594,0.009584935322517979,-0.24604657933060536,0.2582173272577293,La Nina,revised_data_conditional_hindcast,-0.013489458003677379,True,0.5042639065883346
2000,FJI:rice,FJI,rice,historical_mean,-0.1010823313313548,0.005998539058316331,-0.24963297559480702,0.2546309309935276,La Nina,revised_data_conditional_hindcast,-0.10708087038967114,True,0.5042639065883346
2000,FJI:sugar,FJI,sugar,historical_mean,-0.0093248407791044,-0.0033987422871209045,-0.25903025694024423,0.2452336496480904,La Nina,revised_data_conditional_hindcast,-0.005926098491983495,True,0.5042639065883346
2000,IDN:cocoa,IDN,cocoa,historical_mean,0.0204862161370844,0.05564499912205591,-0.19998651553106744,0.3042773910572672,La Nina,revised_data_conditional_hindcast,-0.03515878298497151,True,0.5042639065883346
2000,IDN:coconut,IDN,coconut,historical_mean,-0.0041544816445493,0.0015797810088734924,-0.2540517336442498,0.2502121729440848,La Nina,revised_data_conditional_hindcast,-0.005734262653422792,True,0.5042639065883346
2000,IDN:coffee,IDN,coffee,historical_mean,-0.2816189690033367,-0.0027294003165105837,-0.2583609149696339,0.24590299161870072,La Nina,revised_data_conditional_hindcast,-0.27888956868682613,False,0.9694249872623905
2000,IDN:maize,IDN,maize,historical_mean,0.037562028113059,0.026850141255696954,-0.22878137339742638,0.27548253319090826,La Nina,revised_data_conditional_hindcast,0.010711886857362043,True,0.5042639065883346
2000,IDN:palm,IDN,palm,historical_mean,0.0177930503609449,0.007455497485861522,-0.24817601716726181,0.2560878894210728,La Nina,revised_data_conditional_hindcast,0.010337552875083377,True,0.5042639065883346
2000,IDN:rice,IDN,rice,historical_mean,0.0344073725057747,0.02597646203464956,-0.22965505261847377,0.27460885396986084,La Nina,revised_data_conditional_hindcast,0.008430910471125139,True,0.5042639065883346
2000,IDN:sugar,IDN,sugar,historical_mean,0.0833118166742687,-0.017640421379301212,-0.27327193603242456,0.2309919705559101,La Nina,revised_data_conditional_hindcast,0.1009522380535699,True,0.5042639065883346
2000,MYS:cocoa,MYS,cocoa,historical_mean,0.1108929994313033,0.013966867006984254,-0.2416646476461391,0.26259925894219555,La Nina,revised_data_conditional_hindcast,0.09692613242431905,True,0.5042639065883346
2000,MYS:coconut,MYS,coconut,historical_mean,0.0366944949663978,-0.004077423448545968,-0.2597089381016693,0.24455496848666533,La Nina,revised_data_conditional_hindcast,0.04077191841494377,True,0.5042639065883346
2000,MYS:coffee,MYS,coffee,historical_mean,0.0809003475102367,0.03380001243061291,-0.2218315022225104,0.28243240436582423,La Nina,revised_data_conditional_hindcast,0.04710033507962379,True,0.5042639065883346
2000,MYS:palm,MYS,palm,historical_mean,0.0097603000044808,0.008250847001135726,-0.2473806676519876,0.256883238936347,La Nina,revised_data_conditional_hindcast,0.001509453003345075,True,0.5042639065883346
2000,MYS:rice,MYS,rice,historical_mean,0.0408041796539135,0.011268629600251368,-0.24436288505287196,0.2599010215354627,La Nina,revised_data_conditional_hindcast,0.029535550053662134,True,0.5042639065883346
2000,MYS:sugar,MYS,sugar,historical_mean,-0.3732445463812697,0.02194281668972218,-0.23368869796340117,0.2705752086249335,La Nina,revised_data_conditional_hindcast,-0.3951873630709919,False,3.295380874945705
2000,PHL:cocoa,PHL,cocoa,historical_mean,0.072324359372013,0.011261373085392273,-0.24437014156773107,0.2598937650206036,La Nina,revised_data_conditional_hindcast,0.06106298628662072,True,0.5042639065883346
2000,PHL:coconut,PHL,coconut,historical_mean,0.1125616019388542,-0.003866775624135041,-0.2594982902772584,0.24476561631107627,La Nina,revised_data_conditional_hindcast,0.11642837756298924,True,0.5042639065883346
2000,PHL:coffee,PHL,coffee,historical_mean,0.0049461421954832,0.0005564401772163748,-0.25507507447590694,0.24918883211242768,La Nina,revised_data_conditional_hindcast,0.004389702018266825,True,0.5042639065883346
2000,PHL:maize,PHL,maize,historical_mean,0.035036511263541,0.025417464998551766,-0.23021404965457157,0.27404985693376305,La Nina,revised_data_conditional_hindcast,0.009619046264989235,True,0.5042639065883346
2000,PHL:palm,PHL,palm,historical_mean,0.1434148646826636,0.019701981691773177,-0.23592953296135016,0.2683343736269845,La Nina,revised_data_conditional_hindcast,0.12371288299089042,True,0.5042639065883346
2000,PHL:rice,PHL,rice,historical_mean,0.0403603634765481,0.024256386680461643,-0.2313751279726617,0.27288877861567296,La Nina,revised_data_conditional_hindcast,0.01610397679608646,True,0.5042639065883346
2000,PHL:sugar,PHL,sugar,historical_mean,-0.0622557614606478,-0.007061480806853256,-0.2626929954599766,0.24157091112835805,La Nina,revised_data_conditional_hindcast,-0.055194280653794545,True,0.5042639065883346
2000,PNG:cocoa,PNG,cocoa,historical_mean,0.2424469779955852,-0.001372273826249076,-0.2570037884793724,0.24726011810896223,La Nina,revised_data_conditional_hindcast,0.24381925182183428,True,0.5042639065883346
2000,PNG:coconut,PNG,coconut,historical_mean,0.0116960397631913,0.013220041055511231,-0.24241147359761211,0.26185243299072253,La Nina,revised_data_conditional_hindcast,-0.001524001292319931,True,0.5042639065883346
2000,PNG:coffee,PNG,coffee,historical_mean,0.0624090255480732,-0.00314653561263329,-0.2587780502657566,0.24548585632257802,La Nina,revised_data_conditional_hindcast,0.06555556116070649,True,0.5042639065883346
2000,PNG:maize,PNG,maize,historical_mean,0.0222361414468816,0.036771796901098455,-0.2188597177520249,0.28540418883630975,La Nina,revised_data_conditional_hindcast,-0.014535655454216857,True,0.5042639065883346
2000,PNG:palm,PNG,palm,historical_mean,0.0603234623502224,-0.0051566483459486835,-0.26078816299907204,0.24347574358926263,La Nina,revised_data_conditional_hindcast,0.06548011069617109,True,0.5042639065883346
2000,PNG:rice,PNG,rice,historical_mean,0.018538120998911,-0.017832980259228394,-0.27346449491235175,0.23079941167598292,La Nina,revised_data_conditional_hindcast,0.036371101258139395,True,0.5042639065883346
2000,PNG:sugar,PNG,sugar,historical_mean,0.017781173117561,0.009831318906624914,-0.24580019574649842,0.2584637108418362,La Nina,revised_data_conditional_hindcast,0.007949854210936086,True,0.5042639065883346
2000,SLB:cocoa,SLB,cocoa,historical_mean,-0.1575943198221086,0.004309395488509151,-0.25132211916461417,0.2529417874237205,La Nina,revised_data_conditional_hindcast,-0.16190371531061773,True,0.5042639065883346
2000,SLB:coconut,SLB,coconut,historical_mean,-0.0893798436694763,0.011553812635354944,-0.2440777020177684,0.26018620457056624,La Nina,revised_data_conditional_hindcast,-0.10093365630483124,True,0.5042639065883346
