model,n,mae,rmse,coverage90,interval_score90
economic_only,1532,0.07500221215996836,0.15114135125854955,0.9281984334203656,0.7516457538879431
enso,1532,0.07650998198495208,0.1520318265024464,0.924934725848564,0.7437964441572682
historical_mean,1532,0.07216729645191215,0.1504733665437967,0.9360313315926893,0.7624725099541229
weather,1532,0.0766775652772796,0.15204960926830635,0.9236292428198434,0.7434283708058425
