country,year,revenue_loss_2025usd_mean,revenue_loss_2025usd_p05,revenue_loss_2025usd_median,revenue_loss_2025usd_p95,agriculture_loss_2025usd_mean,agriculture_loss_2025usd_p05,agriculture_loss_2025usd_median,agriculture_loss_2025usd_p95,event_revenue_2025usd_mean,event_revenue_2025usd_p05,event_revenue_2025usd_median,event_revenue_2025usd_p95,neutral_revenue_2025usd_mean,neutral_revenue_2025usd_p05,neutral_revenue_2025usd_median,neutral_revenue_2025usd_p95,p_revenue_loss,p_loss_above_1pct_revenue,revenue_loss_var95_2025usd,revenue_loss_es95_2025usd,revenue_loss_pct_neutral_mean
AUS,2026,44490746.23460664,-473003117.1471862,11587278.417297363,642347777.9041868,483656278.8318637,-1130482185.7100737,477915562.44262695,2143751533.3610668,689287686531.4934,658979498550.4517,689879997710.7227,721401656211.604,689332177277.7279,659134486684.7595,689924461815.6792,721453051675.8649,0.5503,0.0,642347777.9041868,1042120311.9580626,0.0064228511878846595
FJI,2026,748098.3583733675,-5617750.338549244,250046.14197933674,8546914.922722943,11561645.825937014,-5746490.137081099,10056071.436567158,33438287.43190337,1811581108.537125,1639669324.1072116,1795928400.3844795,1998706849.8720536,1812329206.8954985,1639347347.6130838,1796231849.6502407,1999666905.7515047,0.5695,0.0081,8546914.922722943,13873952.04041234,0.04094235322807608
IDN,2026,107140752.04279028,-694154671.2341963,51966093.20227051,1036360307.7682569,3048236150.6399975,-635123927.1229568,2945488478.3241425,7150234915.195248,204338130719.9837,176571680747.9335,202390432428.55334,232127389599.1389,204445271472.0265,176780237268.3191,202592161841.36172,232216920335.35995,0.5971,0.0067,1036360307.7682569,1558767354.6305797,0.05229214243348145
MYS,2026,14691048.577458847,-158403622.1166496,4513630.2690963745,215266682.003353,239299291.84394953,-640640550.4941347,240074807.27297592,1127428051.7372632,97629227025.16797,87478669913.30281,96912796183.2879,107634421978.31175,97643918073.7454,87526117749.86028,96926700903.09457,107631117584.72388,0.5579,0.0004,215266682.003353,349510138.01382285,0.015244239784195512
PHL,2026,56459226.657528855,-154482558.9945907,20005353.142166138,375401886.94107133,535753249.4595757,-407328249.5883815,475539648.2843399,1693899806.3720858,103311196340.98877,96410155937.82991,103684094101.76883,109328416580.4068,103367655567.6463,96463639095.16428,103758482748.78848,109359531623.087,0.6255,0.0026,375401886.94107133,582514319.4002979,0.054669123079787614
PNG,2026,5669605.225507055,-37465526.1098279,2340967.8980965614,56296781.40672272,123353583.4560842,-54387400.90424876,109985971.99378157,344641190.7427104,5768774924.633397,4992391475.560145,5752146584.511688,6616092703.501886,5774444529.858904,4996826972.763554,5759763424.722408,6620657591.357626,0.59,0.0476,56296781.40672272,91744250.78602137,0.09762959106388269
SLB,2026,-697.2273026502669,-6788871.604347806,6126.105369627476,6892188.241720912,2648133.099018463,-16982209.437691636,3251643.175630003,19924191.042497367,673468488.8856026,530447341.6891824,665049197.0374556,817771760.3164375,673467791.6582998,530645747.803646,665158912.1765143,817180940.1437974,0.504,0.051,6892188.241720912,11076770.05393603,-0.0010415524454583014
THA,2026,115334879.80208226,-302261885.1108474,55587842.19678497,692518988.3488805,1212473064.842602,-201648407.09531936,1102658803.8448563,2911220367.2046323,123039627976.7652,115456003757.44917,122470999980.03442,131469736930.71072,123154962856.56725,115649898301.08931,122597572728.62701,131563171435.66257,0.6512,0.0099,692518988.3488805,1035663588.0744003,0.09399869452985612
TON,2026,86942.97158326444,-1420427.0281076848,21158.518208533525,1720865.7255707912,648541.2272854715,-2773678.2668905756,708600.6091181785,3754159.4120260454,370907119.28414524,320560199.9793527,369676150.19473016,417799530.3886882,370994062.25572854,320771896.57147753,369594387.14651483,417832039.0729751,0.5352,0.0073,1720865.7255707912,2798570.5538060903,0.023196863784398624
VNM,2026,12368018.136260485,-223743274.7011383,3111203.7487487793,280828871.0091848,126870517.14867257,-1104853221.9096546,153673615.64664078,1250029454.2459457,104897483865.9077,94404300257.91643,105207312578.61877,113801974464.90866,104909851884.04398,94422951840.69354,105226062721.11263,113811237182.64693,0.5369,0.0008,280828871.0091848,466006499.7014757,0.011824868760478552
