country,crop,year,yield_effect_pct_mean,yield_effect_pct_p05,yield_effect_pct_median,yield_effect_pct_p95,p_yield_loss,anchor_year,anchor_production_t,area_response_estimated,price_response_estimated,production_effect_pct_mean,production_effect_pct_p05,production_effect_pct_median,production_effect_pct_p95,local_usd_price_effect_pct_mean,local_usd_price_effect_pct_p05,local_usd_price_effect_pct_median,local_usd_price_effect_pct_p95,gross_receipts_effect_pct_mean,gross_receipts_effect_pct_p05,gross_receipts_effect_pct_median,gross_receipts_effect_pct_p95,fixed_area_anchor_output_loss_t_mean,fixed_area_anchor_output_loss_t_p05,fixed_area_anchor_output_loss_t_median,fixed_area_anchor_output_loss_t_p95,tonnage_interpretation,scope
AUS,maize,2026,-1.6856192970474508,-5.149957105184651,-1.7195323773194229,2.050589913183982,0.8141,2024,447027.0,True,True,1.190284100724592,-6.565394615972354,1.0410015443886542,9.518893542651048,-4.1293868253964,-9.043200989429089,-3.9911787732836053,1.543368677044972,-3.076398777422357,-9.435563544191716,-3.0724262557289617,3.4210321858687984,7535.1733750123085,-9166.690571208983,7686.7740003596955,23021.69874859379,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
AUS,rice,2026,-1.9839714626501983,-5.5806526339059435,-1.9498426948140066,1.4672393491924172,0.8434,2024,619180.0,True,True,1.007455054159911,-14.91677881243777,-0.18115894212993505,20.294207499530884,2.2968808793681013,-4.688255791157282,1.8960068570521251,10.129118797155474,3.0792878650158824,-12.121589382817437,2.298164316131881,18.887640833291016,12284.3545024375,-9084.852602329609,12073.035997749368,34554.28497861879,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
AUS,sugar,2026,-1.5904034692291986,-5.475786152601803,-1.5450593498633922,2.028401702895382,0.778,2024,29855156.0,True,True,-1.746570325871325,-6.007063024634538,-1.6875314006876263,2.4060849813309177,-3.905013979742537,-10.205820411925218,-4.035966213345942,2.341887765235892,-5.579529574626406,-13.223411336781917,-5.60423739965887,2.0079955922984087,474817.4367677892,-605582.4927060736,461279.87919430155,1634804.4980856662,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
FJI,cocoa,2026,0.02611252479968011,-4.806622760677633,0.036980589977075665,4.892913631882519,0.4956,2024,215.9,True,False,-11.101809122918649,-29.413196812171535,-12.45337735672123,12.822042415269802,,,,,,,,,-0.056376941042509364,-10.563800531234362,-0.07984109376050635,10.377498540303002,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
FJI,coconut,2026,-2.4348304462670103,-6.667931953602574,-2.483463546641156,2.010931822740128,0.846,2024,25000.0,True,False,-5.385157749886945,-15.389271472812949,-6.021821024108261,6.919957289413487,,,,,,,,,608.7076115667525,-502.7329556850321,620.865886660289,1666.9829884006435,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
FJI,coffee,2026,0.09272100241758376,-4.7166145708342855,0.07009447577273967,4.814682696028215,0.4886,2024,14.23,True,False,-15.156778749708572,-30.348313607492663,-15.249586975612608,-0.5066905950563079,,,,,,,,,-0.013194198644022168,-0.6851293476448155,-0.009974443902460856,0.6711742534297186,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
FJI,maize,2026,-1.6092517367685537,-5.111896767308221,-1.7659809681584633,2.2636371304591885,0.7925,2024,2421.0,True,True,-35.19685175340098,-50.85444789431794,-35.793820838908744,-17.218549623007544,14.680286278491383,0.29572664552075845,14.454511497293495,37.20777237505326,-25.86960906845447,-45.89013598769964,-27.288032089437955,-2.9768721816283357,38.95998454716669,-54.802654928417,42.754399239116395,123.75902073653202,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
FJI,rice,2026,-2.4099272919689043,-6.204989011448121,-2.2831593472776994,0.9178395463351506,0.8842,2024,8597.5,True,True,-0.8802733455723237,-11.336960764973375,-1.5481743024913426,12.14968931757836,-8.166002049533976,-26.210643613075646,-11.04569878149426,8.648511469822424,-9.586349188494488,-21.964991307120208,-10.883902722501512,5.690451952714637,207.19349892702655,-78.91125499616476,196.2946248822002,533.4739302592523,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
FJI,sugar,2026,-1.8857699881436683,-5.945405211860585,-1.7846667533052514,1.7855720829552384,0.8098,2024,1332000.0,True,False,-3.1341954523942355,-7.8978571765670935,-3.093192782547714,1.5145370355870673,,,,,,,,,25118.456242073662,-23783.820144963815,23771.761154025946,79192.79742198296,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
IDN,cocoa,2026,-0.010198950254373278,-4.865069876464699,-0.015651467941530616,4.843197805551586,0.5026,2024,632702.0,True,True,0.8437624603729591,-5.96322240018585,0.7038085586389506,7.9227556492573115,-2.9839821740829016,-8.220649452313653,-2.932325554026127,1.4440961541070523,-2.1526360933288493,-11.235723607918118,-2.007859946535789,6.082404316921212,64.5289622384249,-30643.009379681007,99.02715069542305,30781.394409789656,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
