period,scope,revenue_loss_2025usd_mean,revenue_loss_2025usd_p05,revenue_loss_2025usd_median,revenue_loss_2025usd_p95,agriculture_loss_2025usd_mean,agriculture_loss_2025usd_p05,agriculture_loss_2025usd_median,agriculture_loss_2025usd_p95,p_revenue_loss,p_loss_above_1pct_revenue,var95_2025usd,es95_2025usd
2026,all_modeled,357334289.8141756,-1202324998.7992554,206646472.17324117,2333534347.231878,5792130739.864433,-908806736.5714016,5603961487.542501,13207135027.889046,0.6306,0.0,2333534347.231878,3324366437.36935
2026,Pacific_islands,6849618.363448219,-43142816.68301004,3368548.3058340847,65675137.09107835,145842187.09777272,-51703329.632143065,132095498.38676374,387257720.58908975,0.5902,0.0205,65675137.09107835,103793649.58191334
2026,excluding_Australia,312843543.5795689,-978397534.4292785,182025129.36797974,1963047813.563845,5308474461.03257,-633668681.9111403,5138854822.142752,11961896580.54396,0.6366,0.0,1963047813.563845,2799798457.06025
2027,all_modeled,460446606.9292434,-1747760667.4691787,254177802.3206272,3239012355.858809,7514626456.458192,-1984142357.094384,7236675677.626853,17984485059.35847,0.6175,0.0,3239012355.858809,4614392933.514657
2027,Pacific_islands,7616061.657946312,-62283563.456785455,3495288.8313467503,89792343.08940451,188905562.27959374,-99201750.38302703,170893193.45524347,542335251.932965,0.5702,0.0415,89792343.08940451,140443610.18201944
2027,excluding_Australia,364634800.36563414,-1293501132.320188,206058881.9142918,2500348133.6605096,6418228907.97292,-1890709894.9971077,6169889370.081983,15625597064.51508,0.6198,0.0011,2500348133.6605096,3552546449.290297
2026–2027,all_modeled,817780896.7434188,-2881156489.5808463,470920827.0144582,5523943960.144789,13306757196.322624,-2152957980.509668,12791203480.713755,30866752080.12629,0.625,0.0,5523943960.144789,7767766552.847349
2026–2027,Pacific_islands,14465680.021394532,-102875582.80334735,7039043.8917582035,153845613.94592223,334747749.3773665,-135444328.7665714,304540774.14891315,913693183.2124866,0.5812,0.0303,153845613.94592223,239868714.23911777
2026–2027,excluding_Australia,677478343.9452031,-2211985585.6387696,399418266.9605992,4372168530.543373,11726703369.005491,-1848411459.658982,11239232552.857105,27295131814.98392,0.6329,0.0001,4372168530.543373,6207708177.732723
