scenario,series,mean_increment_usd,portfolio_tail_contribution_usd
la_nina,MYS:cocoa,-525.9183681489609,-1620.14913866656
la_nina,MYS:coconut,-777971.5317684003,-321662.78473037836
la_nina,MYS:coffee,-1250.642456816856,-4430.246878424421
la_nina,MYS:maize,-305.2165133651736,-298.62018442655136
la_nina,MYS:palm,-24204443.4632613,-12204289.502268597
la_nina,MYS:rice,108453.64724281822,283085.8849320692
la_nina,MYS:sugar,-31537.891955962896,-33353.29523331291
la_nina,PHL:cocoa,126915.1479308464,179904.1819949273
la_nina,PHL:coconut,-3575081.9001075057,4653148.022562968
la_nina,PHL:coffee,308561.7475932949,531657.1188427213
la_nina,PHL:maize,-1723396.1467685585,4578199.378930702
la_nina,PHL:palm,-411014.6423717089,-247225.85305610287
la_nina,PHL:rice,-4322249.588013655,12380768.738382397
la_nina,PHL:sugar,-407743.91545509576,516345.1605175282
la_nina,THA:cocoa,-166.71664658443112,-373.3749960709382
la_nina,THA:coconut,-530441.5479057244,50454.20006621032
la_nina,THA:coffee,-74505.1658373218,-67054.16290011912
la_nina,THA:maize,-1824260.94428809,-349585.7791453085
la_nina,THA:palm,-12256792.347539108,-3915172.642326497
la_nina,THA:rice,-10419814.412316913,11093330.379801363
la_nina,THA:sugar,-9830683.323385166,-7202358.472261314
la_nina,TON:coconut,-79506.71597040132,-79509.11222572383
la_nina,VNM:coconut,628059.9417438316,707447.2676574579
la_nina,VNM:coffee,-5927518.461653047,-4006048.573990147
la_nina,VNM:maize,-2850541.3562225713,592278.503566712
la_nina,VNM:rice,-32252659.83106376,-14690906.198230738
la_nina,VNM:sugar,-1662943.6666908914,-1052163.0662885117
la_nina,VUT:cocoa,9700.55305876041,12737.320094888408
la_nina,VUT:coconut,22382.221736701882,27581.0258182471
la_nina,VUT:coffee,124.2357083177934,69.52087812932182
la_nina,VUT:maize,200.4253302322559,414.59692608197196
la_nina,WSM:coconut,9682.382173305616,12561.89262237519
super_stress,AUS:maize,615855.8650877894,924736.8575517491
super_stress,AUS:rice,1161159.3395992,1367261.3269981358
super_stress,AUS:sugar,6722276.471587219,11300867.369891115
super_stress,FJI:cocoa,12233.842001127285,11194.602778215783
super_stress,FJI:coconut,5365.141277981413,-86606.35157406525
super_stress,FJI:maize,24211.389866923506,24872.630437792464
super_stress,FJI:rice,7154.27290163596,13480.817870914996
super_stress,FJI:sugar,217462.7389704972,279575.97871586215
super_stress,IDN:cocoa,2792265.115966646,15770825.456779309
super_stress,IDN:coconut,14508094.504166186,18729528.032695856
super_stress,IDN:coffee,10177156.102385806,30128748.16910137
super_stress,IDN:maize,36938086.555237964,92538005.73441978
super_stress,IDN:palm,6992434.574712665,84777316.65865573
super_stress,IDN:rice,131438928.44414043,427346484.80450994
super_stress,IDN:sugar,2593379.2851412743,4237525.694675544
super_stress,MYS:cocoa,13194.738660819432,16354.809408470473
super_stress,MYS:coconut,1954243.2457776265,2653712.1590494597
super_stress,MYS:coffee,-13569.717030283016,-19716.711287116304
super_stress,MYS:maize,-691.0505260079166,-364.36304166984075
super_stress,MYS:palm,24346612.345050335,54613705.134658985
super_stress,MYS:rice,1793173.1274188354,2178715.5797165073
super_stress,MYS:sugar,-151157.4747755713,-177540.09721683827
super_stress,PHL:cocoa,25285.090109890585,144715.17459154298
super_stress,PHL:coconut,24105208.10465824,38979095.05803709
super_stress,PHL:coffee,-230094.01080984715,413335.05791483115
super_stress,PHL:maize,14339206.400849817,28120788.330365665
super_stress,PHL:palm,130623.87507569227,348264.37338821986
super_stress,PHL:rice,82649120.10421135,130453271.8674616
super_stress,PHL:sugar,4552082.411336368,6549743.351873669
super_stress,THA:cocoa,-65.53158320647218,18.775701865917753
super_stress,THA:coconut,2355153.1546748914,2579784.3411174174
super_stress,THA:coffee,-11347.611215091842,-83155.80365326052
super_stress,THA:maize,9152135.029938329,14437255.762455592
super_stress,THA:palm,-6855263.457892513,3748244.717884487
super_stress,THA:rice,35806854.00730074,91234756.27706501
super_stress,THA:sugar,6550447.627176757,18948927.684519675
super_stress,TON:coconut,-41468.79713702956,-53991.91465015779
super_stress,VNM:coconut,3029012.968846894,3873882.9117759475
super_stress,VNM:coffee,1687527.6779354073,4800404.3826759085
super_stress,VNM:maize,7167440.323902876,9952428.048169019
super_stress,VNM:rice,61188362.28667737,86457778.77116577
super_stress,VNM:sugar,-2800772.236610118,-2769187.936143641
super_stress,VUT:cocoa,-58714.491465577135,-50428.20171116086
super_stress,VUT:coconut,229927.4363414947,245603.03097756027
super_stress,VUT:coffee,-268.13849652591597,-365.6199365774601
super_stress,VUT:maize,4403.259761167023,4605.878047304275
super_stress,WSM:coconut,56236.173672207544,103277.92724543677
post_super,AUS:maize,-26235.636394077013,267340.65848246287
post_super,AUS:rice,1431054.3942830593,1472659.5880508164
post_super,AUS:sugar,-1763971.307102992,4142730.2927219705
post_super,FJI:cocoa,8960.609874742122,8555.291515488523
post_super,FJI:coconut,-238812.01131720495,-536432.8916253487
post_super,FJI:maize,-33067.478224081184,-34240.415192091066
post_super,FJI:rice,-29975.152455032458,-27321.14977854166
post_super,FJI:sugar,-51135.2373789992,24273.087780602174
post_super,IDN:cocoa,-5631406.688527174,9797682.716310004
post_super,IDN:coconut,650749.6385747993,741519.9859232352
post_super,IDN:coffee,-10689037.964924647,6856534.602837898
post_super,IDN:maize,-51053809.598941825,15036394.347664742
post_super,IDN:palm,-134277201.92119882,-59629235.442543454
post_super,IDN:rice,78550759.18328582,423881070.90060425
post_super,IDN:sugar,67210.2505290684,-1532115.4556716066
post_super,MYS:cocoa,18334.98759555818,22031.38990468467
post_super,MYS:coconut,269836.9829071588,852083.1083903377
post_super,MYS:coffee,-45622.93366121936,-61699.351401831555
post_super,MYS:maize,-6.266851386622419,73.86309313775206
post_super,MYS:palm,-20270022.173516992,10045786.145445947
post_super,MYS:rice,1771513.603529323,2108926.4970890577
post_super,MYS:sugar,-42298.09752225123,-43319.829074754074
post_super,PHL:cocoa,149797.74498466402,319083.3001176105
post_super,PHL:coconut,14169284.763522338,25133083.20913265
post_super,PHL:coffee,-1159745.6749759896,-550844.472742759
post_super,PHL:maize,-143535.13573076512,14555982.46360572
post_super,PHL:palm,-42099.979977171555,7598.037080092251
post_super,PHL:rice,12056115.093721129,53655720.240379885
post_super,PHL:sugar,-2388094.57141092,-2737484.432244956
post_super,THA:cocoa,18.367705388164946,189.00720410916495
post_super,THA:coconut,122842.75997165842,-216083.12307649542
post_super,THA:coffee,-934740.2794173992,-1302362.710487974
post_super,THA:maize,-5559092.585675563,2445120.111800948
post_super,THA:palm,-8793781.90465149,3730504.4267842835
post_super,THA:rice,-6716779.231439924,55165110.25724379
post_super,THA:sugar,1751439.4862155204,9440711.635247592
post_super,TON:coconut,-401142.2604631411,-437498.0415783851
post_super,VNM:coconut,1734540.3363914473,1693123.9901310937
post_super,VNM:coffee,-16055251.20955731,-17042273.564493325
post_super,VNM:maize,-841194.819405766,1612546.6511816499
post_super,VNM:rice,-144503.11525028318,15030833.418301387
post_super,VNM:sugar,-1857254.5811564056,-2121412.6491395882
post_super,VUT:cocoa,46054.834038476816,55932.47155585831
post_super,VUT:coconut,110561.12116989572,114784.36872608916
post_super,VUT:coffee,-136.05961245977252,-292.116210960158
post_super,VUT:maize,2503.788997446419,2788.82176553769
post_super,WSM:coconut,60386.62058126968,75514.09941462523
current_statistical_outlook,AUS:maize,127182.0669250346,201463.33368106617
current_statistical_outlook,AUS:rice,-611696.000296077,-651403.1551664238
current_statistical_outlook,AUS:sugar,3371376.517474813,5251566.240496717
current_statistical_outlook,FJI:cocoa,3820.372858951266,5796.063435026834
current_statistical_outlook,FJI:coconut,30584.53019189453,17055.168178834425
current_statistical_outlook,FJI:maize,22732.227992562337,21377.464497566685
current_statistical_outlook,FJI:rice,8504.549309248167,12815.24407336694
current_statistical_outlook,FJI:sugar,32494.37287293309,47043.20926432326
current_statistical_outlook,IDN:cocoa,731359.8090470874,4008002.84113086
current_statistical_outlook,IDN:coconut,5183068.0844084285,7673191.086064548
current_statistical_outlook,IDN:coffee,1383714.3867959697,5176364.621752188
current_statistical_outlook,IDN:maize,35130516.87003808,61391572.39603379
current_statistical_outlook,IDN:palm,-14411923.389848528,31132347.583065532
current_statistical_outlook,IDN:rice,33286638.28108395,107013132.43957596
current_statistical_outlook,IDN:sugar,1061864.9128539863,2232505.237418955
current_statistical_outlook,MYS:cocoa,7121.918331254407,9414.967283249029
current_statistical_outlook,MYS:coconut,517128.6938895195,811203.7089434004
current_statistical_outlook,MYS:coffee,1749.7525062580116,2499.638961836253
current_statistical_outlook,MYS:maize,-190.99984854903767,-158.46312560935976
current_statistical_outlook,MYS:palm,-25961040.253614374,-5405648.393108713
current_statistical_outlook,MYS:rice,32681.84905743116,201436.17780069786
current_statistical_outlook,MYS:sugar,-57138.71028086784,-72393.8835333929
current_statistical_outlook,PHL:cocoa,30319.64598980763,77183.71462406634
current_statistical_outlook,PHL:coconut,9403296.251185443,16658294.98967636
current_statistical_outlook,PHL:coffee,63246.48605222046,304798.06390359864
current_statistical_outlook,PHL:maize,3848719.7991284365,7687339.002117554
current_statistical_outlook,PHL:palm,-56913.34528271984,56808.67092470573
current_statistical_outlook,PHL:rice,21892807.5923463,41167541.168891005
current_statistical_outlook,PHL:sugar,-388421.4517620692,-32602.642588140512
current_statistical_outlook,THA:cocoa,-237.84528454131527,-229.96186375378963
current_statistical_outlook,THA:coconut,1225604.6672444665,1769585.7614677132
current_statistical_outlook,THA:coffee,99370.44084702141,162255.72808400143
current_statistical_outlook,THA:maize,3965772.4719173578,6185368.648435589
current_statistical_outlook,THA:palm,-1398991.7365393494,5958923.504812573
current_statistical_outlook,THA:rice,10151086.111656776,28597737.634758156
