fixed_capture_rate,expected_net_loss_usd,probability_loss,var95_usd,var99_usd,es95_usd,es99_usd,probability_buffer_exceeded,illustrative_layer_pure_premium_usd,illustrative_layer_loaded_premium_usd
0.01,90678442.66847429,0.9615,175976862.0980566,217202844.1227887,201703142.7452241,241813342.1559971,,91572241.69050884,109886690.0286106
0.05,453392213.3423714,0.9615,879884310.490283,1086014220.6139436,1008515713.7261206,1209066710.7799854,,457861208.45254415,549433450.1430529
0.1,906784426.6847428,0.9615,1759768620.980566,2172028441.227887,2017031427.4522412,2418133421.559971,,915722416.9050883,1098866900.2861059
