dependence,expected_net_loss_usd,probability_loss,var95_usd,var99_usd,es95_usd,es99_usd,probability_buffer_exceeded,illustrative_layer_pure_premium_usd,illustrative_layer_loaded_premium_usd
shared_empirical_year,485178900.5148787,0.9606,1004320604.4300878,1275652395.288899,1185067736.5411336,1484230814.7916381,,490420633.6261203,588504760.3513443
independent_marginals,485178900.5148787,0.9956,819660197.7281606,1004661288.5672317,946243707.1886188,1190163825.3893178,,485470047.3554504,582564056.8265405
rank_aligned_stress,485178900.5148787,0.8154,1539247756.2600102,2215137759.8224115,1964105545.070306,2680378528.9690576,,540963008.4850855,649155610.1821026
