commodity,year,price,n,growth,warm,cold,extreme,peak,warm_lag1,warm_lag2,phase
Cocoa,1961,0.47855833333333336,12,-0.20767636759372743,0.075,0.05000000000000001,0.0,0.3,0.15833333333333335,0.2916666666666667,Neutral/mixed
Cocoa,1962,0.45796666666666663,12,-0.04398171094354786,0.0,0.14166666666666666,0.0,0.0,0.075,0.15833333333333335,Neutral/mixed
Cocoa,1963,0.5523416666666666,12,0.18737041489038886,0.5583333333333333,0.03333333333333333,0.0,1.1,0.0,0.075,El Nino
Cocoa,1964,0.5057416666666666,12,-0.08814081741918389,0.14166666666666666,0.425,0.0,1.0,0.5583333333333333,0.0,Neutral/mixed
Cocoa,1965,0.36530833333333335,12,-0.32528425289156504,1.05,0.016666666666666666,0.125,2.0,0.14166666666666666,0.5583333333333333,El Nino
Cocoa,1966,0.5176333333333333,12,0.348525395065601,0.45,0.025000000000000005,0.0,1.5,1.05,0.14166666666666666,Neutral/mixed
Cocoa,1967,0.5981166666666667,12,0.14451868877540253,0.03333333333333333,0.11666666666666665,0.0,0.2,0.45,1.05,Neutral/mixed
Cocoa,1968,0.7208833333333334,12,0.18669148221175613,0.3499999999999999,0.09999999999999999,0.0,1.0,0.03333333333333333,0.45,Neutral/mixed
Cocoa,1969,0.8977166666666667,12,0.21937719066097836,0.6083333333333333,0.0,0.0,1.1,0.3499999999999999,0.03333333333333333,El Nino
Cocoa,1970,0.6750000000000002,12,-0.28514181168264063,0.09999999999999999,0.30833333333333335,0.0,0.5,0.6083333333333333,0.3499999999999999,Neutral/mixed
Cocoa,1971,0.538,12,-0.22685413071074556,0.0,0.5166666666666667,0.0,-0.2,0.09999999999999999,0.6083333333333333,La Nina
Cocoa,1972,0.644,12,0.17984016594256919,1.0166666666666666,0.016666666666666666,0.10833333333333334,2.0,0.0,0.09999999999999999,El Nino
Cocoa,1973,1.131,12,0.5631587500117667,0.3,0.9083333333333333,0.016666666666666663,1.7,1.0166666666666666,0.0,La Nina
Cocoa,1974,1.561,12,0.3222244443993116,0.0,0.65,0.0,-0.2,0.3,1.0166666666666666,La Nina
Cocoa,1975,1.246,12,-0.2253882211680336,0.0,0.6666666666666666,0.0,-0.1,0.0,0.3,La Nina
Cocoa,1976,2.04575,12,0.49582605006009267,0.4666666666666666,0.16666666666666666,0.0,1.1,0.0,0.0,Neutral/mixed
Cocoa,1977,3.7900666666666667,12,0.6166191386637923,0.6833333333333332,0.0,0.0,1.1,0.4666666666666666,0.0,El Nino
Cocoa,1978,3.4031583333333333,12,-0.10767968707904219,0.20833333333333334,0.13333333333333333,0.0,1.0,0.6833333333333332,0.4666666666666666,Neutral/mixed
Cocoa,1979,3.292833333333333,12,-0.0329555323068913,0.2916666666666667,0.0,0.0,0.6,0.20833333333333334,0.6833333333333332,Neutral/mixed
Cocoa,1980,2.6034916666666668,12,-0.23489489690692844,0.20833333333333334,0.03333333333333333,0.0,0.7,0.2916666666666667,0.20833333333333334,Neutral/mixed
Cocoa,1981,2.07955,12,-0.2247019686431091,0.0,0.18333333333333335,0.0,0.0,0.20833333333333334,0.2916666666666667,Neutral/mixed
Cocoa,1982,1.7356166666666668,12,-0.1807887464301512,1.0583333333333333,0.0,0.18333333333333335,2.4,0.0,0.20833333333333334,El Nino
Cocoa,1983,2.119866666666667,12,0.1999904159012832,0.75,0.31666666666666665,0.15,2.4,1.0583333333333333,0.0,El Nino
Cocoa,1984,2.3959916666666667,12,0.1224440086039269,0.0,0.5416666666666666,0.0,-0.2,0.75,1.0583333333333333,La Nina
Cocoa,1985,2.25445,12,-0.060891161461654186,0.0,0.4583333333333333,0.0,-0.1,0.0,0.75,Neutral/mixed
Cocoa,1986,2.0696166666666667,12,-0.08554263582338106,0.44166666666666665,0.08333333333333333,0.0,1.4,0.0,0.0,Neutral/mixed
Cocoa,1987,1.9942166666666665,12,-0.037112079995280656,1.1083333333333334,0.0,0.0,1.5,0.44166666666666665,0.0,El Nino
Cocoa,1988,1.5846,12,-0.2299193153989138,0.049999999999999996,1.2,0.0,0.5,1.1083333333333334,0.44166666666666665,La Nina
Cocoa,1989,1.2410333333333334,12,-0.24438764362816706,0.008333333333333333,0.6166666666666667,0.0,0.1,0.049999999999999996,1.1083333333333334,La Nina
Cocoa,1990,1.2666666666666666,12,0.020444412143392904,0.2833333333333333,0.0,0.0,0.4,0.008333333333333333,0.049999999999999996,Neutral/mixed
Cocoa,1991,1.1950583333333333,12,-0.05819377936726408,0.9,0.0,0.05833333333333333,2.0,0.2833333333333333,0.008333333333333333,El Nino
Cocoa,1992,1.0995666666666668,12,-0.08327883590108799,0.975,0.0,0.15833333333333335,2.1,0.9,0.2833333333333333,El Nino
Cocoa,1993,1.116925,12,0.01566321090083815,0.6583333333333333,0.0,0.0,1.1,0.975,0.9,El Nino
Cocoa,1994,1.3959666666666666,12,0.22300775261244557,0.6,0.0,0.0,1.3,0.6583333333333333,0.975,El Nino
Cocoa,1995,1.432425,12,0.025781685906028917,0.24166666666666667,0.4166666666666667,0.0,1.2,0.6,0.6583333333333333,Neutral/mixed
Cocoa,1996,1.4555666666666667,12,0.016026474214346165,0.0,0.3666666666666667,0.0,-0.2,0.24166666666666667,0.6,Neutral/mixed
Cocoa,1997,1.6187333333333334,12,0.10624866397287347,1.2416666666666667,0.016666666666666666,0.26666666666666666,2.3,0.0,0.24166666666666667,El Nino
Cocoa,1998,1.6763833333333336,12,0.034994744677871836,0.5,0.6833333333333332,0.07500000000000001,2.1,1.2416666666666667,0.0,El Nino
Cocoa,1999,1.1353166666666665,12,-0.38972708159215963,0.0,1.0833333333333333,0.0,-0.8,0.5,1.2416666666666667,La Nina
Cocoa,2000,0.9057916666666667,12,-0.22585756136102642,0.0,0.7583333333333333,0.0,-0.3,0.0,0.5,La Nina
Cocoa,2001,1.0687333333333333,12,0.16542009447823008,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,Neutral/mixed
Cocoa,2002,1.7778583333333333,12,0.508935309771655,0.5583333333333333,0.016666666666666666,0.0,1.3,0.0,0.0,El Nino
Cocoa,2003,1.7508771666666665,12,-0.015292555924173667,0.21666666666666667,0.05833333333333333,0.0,0.9,0.5583333333333333,0.0,Neutral/mixed
Cocoa,2004,1.5498486147891668,12,-0.12195964216942723,0.425,0.0,0.0,0.7,0.21666666666666667,0.5583333333333333,Neutral/mixed
Cocoa,2005,1.53811959058,12,-0.007596633018701782,0.15,0.1416666666666667,0.0,0.5,0.425,0.21666666666666667,Neutral/mixed
Cocoa,2006,1.5919022374283334,12,0.03436905162137971,0.3,0.26666666666666666,0.0,0.9,0.15,0.425,Neutral/mixed
Cocoa,2007,1.9522691552791667,12,0.2040626885251165,0.06666666666666667,0.6583333333333333,0.0,0.6,0.3,0.15,La Nina
Cocoa,2008,2.5771163235291668,12,0.2776787043668817,0.0,0.7999999999999999,0.0,-0.2,0.06666666666666667,0.3,La Nina
Cocoa,2009,2.888750329666667,12,0.11415292694926138,0.43333333333333335,0.25,0.0,1.5,0.0,0.06666666666666667,Neutral/mixed
Cocoa,2010,3.1330038538333334,12,0.08116824531964784,0.27499999999999997,0.8583333333333334,0.0,1.4,0.43333333333333335,0.0,La Nina
Cocoa,2011,2.980076713166667,12,-0.050043199187611576,0.0,0.7916666666666666,0.0,-0.3,0.27499999999999997,0.43333333333333335,La Nina
Cocoa,2012,2.39186905303,12,-0.21987395198601611,0.10833333333333334,0.24166666666666667,0.0,0.4,0.0,0.27499999999999997,Neutral/mixed
Cocoa,2013,2.4388466720775,12,0.019450161307477565,0.0,0.4166666666666667,0.0,-0.2,0.10833333333333334,0.0,Neutral/mixed
Cocoa,2014,3.0622399999999996,12,0.22762142212681014,0.15833333333333333,0.09166666666666667,0.0,0.6,0.0,0.10833333333333334,Neutral/mixed
Cocoa,2015,3.135045,12,0.02349685374122501,1.2750000000000001,0.0,0.19166666666666665,2.3,0.15833333333333333,0.0,El Nino
